id,company,company size,location,technology,seniority,salary employment min,salary employment max,salary b2b min,salary b2b max
ce7d5f1abd0f85f8ce9adb09c9aa2110,Box,1000.0,Warszawa,Mobile,senior,22000.0,35000.0,,
9d4f7d691b205c7a7320fa6610b0cc04,Centralny Ośrodek Informatyki,1000.0,Remote,Java,senior,15000.0,20500.0,,
3e8a38181850c2a997ae59fef315c090,Centralny Ośrodek Informatyki,1000.0,Warszawa,Java,senior,15000.0,20500.0,,
589daedb140ad957b359f6970eb1ec23,Centralny Ośrodek Informatyki,1000.0,Remote,Java,senior,18000.0,25000.0,,
71c37d3b1d5fe550e2302264cb802c21,Centralny Ośrodek Informatyki,1000.0,Warszawa,Java,senior,18000.0,25000.0,,
6288aaad86ef9a0b1152b4fd6b3bfe16,Centralny Ośrodek Informatyki,1000.0,Remote,Python,senior,14000.0,28000.0,,
a9c0400937f6546ea25ad39326ebf74a,Centralny Ośrodek Informatyki,1000.0,Warszawa,Python,senior,14000.0,28000.0,,
9227c575d94b2cebae6bbd0a54baa9d9,dmTECH Polska,1000.0,Remote,Python,senior,,,20000.0,27000.0
4a6dfe2f8aa501f1189f6c865b228f08,dmTECH Polska,1000.0,Wrocław,Python,senior,,,20000.0,27000.0
fd074d443b988258a075174e2e626bcb,dmTECH Polska,1000.0,Remote,Java,senior,,,23500.0,30200.0
05c42600972f1553a80fbcff49c48125,dmTECH Polska,1000.0,Wrocław,Java,senior,,,23500.0,30200.0
ec0688a29c8199d271522e6c0b1850ad,dmTECH Polska,1000.0,Remote,Java,mid,,,13000.0,22000.0
c3a11229a23b1d2f7af0245aafbcdf14,dmTECH Polska,1000.0,Wrocław,Java,mid,,,13000.0,22000.0
c4fefb37d835cfd1ebd89b89581ac2ef,Tesco Technology,100.0,Kraków,Java,senior,20000.0,30000.0,24000.0,36000.0
3d50b6dc954b9ebb416fff31bbac428a,Tesco Technology,100.0,Kraków,Python,senior,20000.0,30000.0,24000.0,35000.0
d2def1eef44ec01198bf4f3c4d00fecd,Tesco Technology,100.0,Kraków,Java,senior,22000.0,30000.0,26000.0,36000.0
3965d079e9a411d1ad1035978802acd5,Tesco Technology,100.0,Kraków,Java,mid,17000.0,23000.0,20000.0,27000.0
7007648cfd853dfaa00deb5a236f28c1,RTB House,1000.0,Remote,Python,senior,,,30000.0,47000.0
8b4ba2f9975c0016b263fbaff7b11448,RTB House,1000.0,Warszawa,Python,senior,,,30000.0,47000.0
642bed60e5747a267e5e293c4970d847,RTB House,1000.0,Remote,JavaScript,mid,,,14280.0,17640.0
429bb9adc3b491ea59e6129c2dbed1c5,RTB House,1000.0,Warszawa,JavaScript,mid,,,14280.0,17640.0
1dcf0d42041d93813dc60cd75ab258bc,RTB House,1000.0,Gdańsk,JavaScript,mid,,,14280.0,17640.0
22c9661d8172a6c15a93fc98b27c65ec,RTB House,1000.0,Wrocław,JavaScript,mid,,,14280.0,17640.0
e50d2223076614685a3c82c246cb6bc8,RTB House,1000.0,Remote,Java,senior,,,35000.0,47000.0
38b5cf3d4b44c1bb72fe2b261df0175a,RTB House,1000.0,Warszawa,Java,senior,,,35000.0,47000.0
bb99143634c1bb4ceb3c8b9476bf3633,RTB House,1000.0,Kraków,Java,senior,,,35000.0,47000.0
0b188d7be9122c93470bf8289afb4cf6,Beekeeper,100.0,Remote,Mobile,mid,,,20000.0,28000.0
f695d89b6eb8876aa5c7e4fdedaab58d,Beekeeper,100.0,Kraków,Mobile,mid,,,20000.0,28000.0
5d69dc827afa26069dcf29483bc9ed2e,capital.com,100.0,Warszawa,Java,senior,30000.0,34900.0,34000.0,41300.0
6445f4d4dbf5039ce70d40b91e675ba0,Emerge Soft,100.0,Remote,Java,senior,,,24000.0,26500.0
d6e35dc96fffc3b549a8f71cbd755279,Emerge Soft,100.0,Warszawa,Java,senior,,,24000.0,26500.0
80b6a355209d2866a110d0ec30f38131,Emerge Soft,100.0,Remote,C/C++,senior,,,20000.0,27000.0
eefbe90b535fd9a37fa107f231121ec9,Emerge Soft,100.0,Warszawa,C/C++,senior,,,20000.0,27000.0
bbd9c7d3aad58ea8e67cdb97ce7c23c8,Emerge Soft,100.0,Poznań,C/C++,senior,,,20000.0,27000.0
